Area_id,Area,Initial_assessment,Total_owed_prevention/relief_duty,Prevention_duty,Temporary_tenancy_expires,Relief_duty,No_duty_owned,No_of_households,Household_threatened_homelessness,Household_assessed_homeless
E07000096,Dacorum,196,195,125,15,70,1,66, 1.89 , 1.06 
E06000005,Darlington,335,321,170,30,151,14,49, 3.48 , 3.09 
E07000107,Dartford,195,194,94,12,100,1,48, 1.95 , 2.08 
E06000015,Derby,607,588,395,38,193,19,106, 3.73 , 1.82 
E07000035,Derbyshire Dales,55,51,39,2,12,4,33, 1.18 , 0.36 
E08000017,Doncaster,650,650,252,24,398,0,135, 1.87 , 2.95 
E06000059,Dorset,494,441,203,68,238,53,173, 1.17 , 1.37 
E07000108,Dover,131,130,52,23,78,1,54, 0.95 , 1.43 
E08000027,Dudley,791,654,78,8,576,137,137, 0.57 , 4.20 
E06000047,Durham,802,797,244,62,553,5,239, 1.02 , 2.31 
E09000009,Ealing,886,880,556,55,324,6,124, 4.50 , 2.62 
E07000009,East Cambridgeshire,147,144,97,17,47,3,39, 2.51 , 1.22 
E07000040,East Devon,184,175,129,24,46,9,69, 1.86 , 0.66 
E07000085,East Hampshire,114,113,96,1,17,1,52, 1.85 , 0.33 
E07000242,East Hertfordshire,133,132,63,16,69,1,64, 0.98 , 1.08 
E07000137,East Lindsey,163,162,87,25,75,1,68, 1.28 , 1.11 
E06000011,East Riding of Yorkshire,276,264,64,29,200,12,152, 0.42 , 1.31 
E07000193,East Staffordshire,71,67,16,4,51,4,52, 0.31 , 0.98 
E07000244,East Suffolk,305,299,188,28,111,6,114, 1.64 , 0.97 
E07000061,Eastbourne,169,165,68,19,97,4,48, 1.42 , 2.02 
E07000086,Eastleigh,74,74,51,5,23,0,58, 0.88 , 0.40 
E07000030,Eden,67,62,42,5,20,5,25, 1.70 , 0.81 
E07000207,Elmbridge,91,87,60,7,27,4,56, 1.08 , 0.48 
E09000010,Enfield,845,822,482,164,340,23,132, 3.66 , 2.58 
E07000072,Epping Forest,112,112,63,13,49,0,55, 1.14 , 0.88 
E07000208,Epsom & Ewell,64,62,25,10,37,2,32, 0.78 , 1.16 
E07000036,Erewash,111,109,46,17,63,2,52, 0.88 , 1.21 
E07000041,Exeter,327,325,150,7,175,2,56, 2.69 , 3.14 
E07000087,Fareham,121,83,35,11,48,38,51, 0.69 , 0.95 
E07000010,Fenland,138,127,52,20,75,11,46, 1.14 , 1.65 
E07000112,Folkestone & Hythe,138,136,93,18,43,2,54, 1.73 , 0.80 
E07000080,Forest of Dean,98,90,67,13,23,8,38, 1.76 , 0.60 
E07000119,Fylde,73,73,24,14,49,0,40, 0.60 , 1.22 
E08000037,Gateshead,478,469,353,42,116,9,91, 3.88 , 1.28 
E07000173,Gedling,91,91,55,8,36,0,54, 1.03 , 0.67 
E07000081,Gloucester,333,331,130,16,201,2,55, 2.36 , 3.65 
E07000088,Gosport,144,144,102,8,42,0,38, 2.71 , 1.11 
E07000109,Gravesham,175,170,108,37,62,5,43, 2.52 , 1.45 
E07000145,Great Yarmouth,287,228,126,16,102,59,45, 2.82 , 2.28 
E09000011,Greenwich,428,426,198,21,228,2,116, 1.71 , 1.97 
E07000209,Guildford,123,121,73,15,48,2,56, 1.30 , 0.85 
E09000012,Hackney,633,626,264,48,362,7,123, 2.14 , 2.93 
E06000006,Halton,..,..,..,..,..,..,57, .. , .. 
E07000164,Hambleton,66,63,23,7,40,3,42, 0.55 , 0.96 
E09000013,Hammersmith & Fulham,254,250,97,13,153,4,83, 1.17 , 1.84 
E07000131,Harborough,77,76,21,1,55,1,41, 0.51 , 1.34 
E09000014,Haringey,651,613,366,44,247,38,110, 3.32 , 2.24 
E07000073,Harlow,106,102,52,5,50,4,36, 1.45 , 1.39 
E07000165,Harrogate,205,205,117,12,88,0,71, 1.65 , 1.24 
E09000015,Harrow,299,290,213,33,77,9,87, 2.44 , 0.88 
E07000089,Hart,54,54,39,1,15,0,39, 1.00 , 0.38 
E06000001,Hartlepool,174,174,75,9,99,0,42, 1.77 , 2.33 
E07000062,Hastings,264,263,118,35,145,1,44, 2.70 , 3.32 
E07000090,Havant,180,178,93,5,85,2,57, 1.65 , 1.50 
E09000016,Havering,460,458,218,36,240,2,107, 2.03 , 2.23 
E06000019,Herefordshire,384,383,182,28,201,1,86, 2.11 , 2.33 
E07000098,Hertsmere,127,126,82,8,44,1,42, 1.94 , 1.04 
E07000037,High Peak,106,103,56,15,47,3,42, 1.32 , 1.11 
E09000017,Hillingdon,558,548,304,124,244,10,112, 2.71 , 2.18 
E07000132,Hinckley & Bosworth,143,142,40,1,102,1,53, 0.76 , 1.93 
E07000227,Horsham,112,111,44,1,67,1,64, 0.69 , 1.05 
E09000018,Hounslow,..,..,..,..,..,..,102, .. , .. 
E07000011,Huntingdonshire,278,275,204,35,71,3,77, 2.66 , 0.93 
E07000120,Hyndburn,63,63,33,12,30,0,36, 0.92 , 0.84 
E07000202,Ipswich,360,277,210,22,67,83,59, 3.56 , 1.13 
E06000046,Isle of Wight,214,193,112,34,81,21,68, 1.66 , 1.20 
E06000053,Isles of Scilly,0,0,0,0,0,0,1, -   , -   
E09000019,Islington,557,541,157,9,384,16,109, 1.45 , 3.54 
E09000020,Kensington & Chelsea,381,350,143,14,207,31,76, 1.88 , 2.73 
E07000146,King's Lynn & West Norfolk,173,138,50,11,88,35,66, 0.76 , 1.34 
E06000010,Kingston upon Hull,"1,088","1,029",645,86,384,59,114, 5.67 , 3.38 
E09000021,Kingston upon Thames,96,95,42,3,53,1,70, 0.60 , 0.76 
E08000034,Kirklees,506,494,323,38,171,12,184, 1.76 , 0.93 
E08000011,Knowsley,308,293,180,19,113,15,64, 2.79 , 1.75 
E09000022,Lambeth,727,727,300,32,427,0,140, 2.14 , 3.04 
E07000121,Lancaster,212,207,98,18,109,5,61, 1.60 , 1.78 
E08000035,Leeds,"1,213","1,212",737,37,475,1,336, 2.20 , 1.42 
E06000016,Leicester,745,732,461,75,271,13,126, 3.65 , 2.14 
E07000063,Lewes,49,49,24,3,25,0,46, 0.52 , 0.54 
E09000023,Lewisham,543,539,383,33,156,4,134, 2.86 , 1.17 
E07000194,Lichfield,95,93,60,0,33,2,44, 1.36 , 0.75 
E07000138,Lincoln,233,233,63,2,170,0,42, 1.51 , 4.09 
E08000012,Liverpool,339,336,59,38,277,3,227, 0.26 , 1.22 
E06000032,Luton,437,425,157,30,268,12,77, 2.03 , 3.46 
E07000110,Maidstone,305,273,147,28,126,32,74, 2.00 , 1.71 
E07000074,Maldon,27,26,17,5,9,1,29, 0.59 , 0.31 
E07000235,Malvern Hills,56,56,23,7,33,0,36, 0.63 , 0.91 
E08000003,Manchester,"1,701","1,667",438,47,"1,229",34,219, 2.00 , 5.60 
E07000174,Mansfield,117,117,76,2,41,0,49, 1.56 , 0.84 
E06000035,Medway Towns,464,460,237,44,223,4,114, 2.08 , 1.96 
E07000133,Melton,124,120,59,18,61,4,23, 2.57 , 2.66 
E07000187,Mendip,133,133,80,12,53,0,52, 1.54 , 1.02 
E09000024,Merton,215,211,142,18,69,4,80, 1.78 , 0.86 
E07000042,Mid Devon,152,141,69,9,72,11,37, 1.89 , 1.97 
E07000203,Mid Suffolk,97,97,70,4,27,0,47, 1.50 , 0.58 
E07000228,Mid Sussex,102,102,35,13,67,0,64, 0.55 , 1.05 
E06000002,Middlesbrough,382,382,117,3,265,0,57, 2.05 , 4.65 
