"B82222ED-7490-6691-E053-6B04A8C02FB2","63500","2020-10-14","WS1 1EG","F","N","L","","36","TERRET CLOSE","","WALSALL","WALSALL","WEST MIDLANDS","A","http://landregistry.data.gov.uk/data/ppi/transaction/B82222ED-7490-6691-E053-6B04A8C02FB2/current"
"98C75472-84E4-72E9-E053-6B04A8C042F0","79995","2019-10-07","WS1 1EG","F","N","L","","40","TERRET CLOSE","","WALSALL","WALSALL","WEST MIDLANDS","A","http://landregistry.data.gov.uk/data/ppi/transaction/98C75472-84E4-72E9-E053-6B04A8C042F0/current"
"75050A85-DE76-9A88-E053-6B04A8C02390","58000","2018-07-20","WS1 1EG","F","N","L","","42","TERRET CLOSE","","WALSALL","WALSALL","WEST MIDLANDS","A","http://landregistry.data.gov.uk/data/ppi/transaction/75050A85-DE76-9A88-E053-6B04A8C02390/current"
"D22473F6-4786-7B40-E053-6C04A8C0A630","73650","2021-08-09","WS1 1EG","F","N","L","","46","TERRET CLOSE","","WALSALL","WALSALL","WEST MIDLANDS","A","http://landregistry.data.gov.uk/data/ppi/transaction/D22473F6-4786-7B40-E053-6C04A8C0A630/current"
"EC7AD09A-6EEA-9200-E053-6C04A8C0E306","105000","2022-08-26","WS1 1EG","F","N","L","","76","TERRET CLOSE","","WALSALL","WALSALL","WEST MIDLANDS","A","http://landregistry.data.gov.uk/data/ppi/transaction/EC7AD09A-6EEA-9200-E053-6C04A8C0E306/current"
"D4D42646-9374-27F6-E053-6C04A8C0A572","94000","2021-08-16","WS1 1EN","F","N","L","","5","TERRET CLOSE","","WALSALL","WALSALL","WEST MIDLANDS","A","http://landregistry.data.gov.uk/data/ppi/transaction/D4D42646-9374-27F6-E053-6C04A8C0A572/current"
"BEF7EBBF-B751-7A76-E053-6B04A8C092F7","93500","2020-12-18","WS1 1EN","F","N","L","","15","TERRET CLOSE","","WALSALL","WALSALL","WEST MIDLANDS","B","http://landregistry.data.gov.uk/data/ppi/transaction/BEF7EBBF-B751-7A76-E053-6B04A8C092F7/current"
"BA558B33-4687-76EF-E053-6B04A8C0B4B7","87500","2020-11-13","WS1 1EN","F","N","L","","17","TERRET CLOSE","","WALSALL","WALSALL","WEST MIDLANDS","A","http://landregistry.data.gov.uk/data/ppi/transaction/BA558B33-4687-76EF-E053-6B04A8C0B4B7/current"
"B5755FFE-848B-7D01-E053-6C04A8C036B6","85000","2020-10-06","WS1 1EN","F","N","L","","19","TERRET CLOSE","","WALSALL","WALSALL","WEST MIDLANDS","A","http://landregistry.data.gov.uk/data/ppi/transaction/B5755FFE-848B-7D01-E053-6C04A8C036B6/current"
"8A78B2B0-318D-5CB0-E053-6B04A8C0F504","97500","2019-05-10","WS1 1EN","F","N","L","","27","TERRET CLOSE","","WALSALL","WALSALL","WEST MIDLANDS","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2B0-318D-5CB0-E053-6B04A8C0F504/current"
"85866A65-6832-143F-E053-6B04A8C06A15","87500","2019-02-25","WS1 1EN","F","N","L","","67","TERRET CLOSE","","WALSALL","WALSALL","WEST MIDLANDS","A","http://landregistry.data.gov.uk/data/ppi/transaction/85866A65-6832-143F-E053-6B04A8C06A15/current"
"F5E8B082-01EE-3A13-E053-6C04A8C060B7","99995","2022-12-16","WS1 1EN","F","N","L","","79","TERRET CLOSE","","WALSALL","WALSALL","WEST MIDLANDS","A","http://landregistry.data.gov.uk/data/ppi/transaction/F5E8B082-01EE-3A13-E053-6C04A8C060B7/current"
"E073986B-F4CF-2134-E053-6C04A8C0233B","85000","2022-02-07","WS1 1EN","F","N","L","","81","TERRET CLOSE","","WALSALL","WALSALL","WEST MIDLANDS","A","http://landregistry.data.gov.uk/data/ppi/transaction/E073986B-F4CF-2134-E053-6C04A8C0233B/current"
